id	chromosom	version	taxon	definition	organism	kingdom	phylum	class	order	family	genus	species
NC_018704	NC_018704	NC_018704.1	698758	Amphibacillus xylanus NBRC 15112 DNA, complete genome.	Amphibacillus xylanus NBRC 15112	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus xylanus	
NC_018708	NC_018708	NC_018708.1	358220	Acidovorax sp. KKS102, complete genome.	Acidovorax sp. KKS102	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	null	
NC_018709	NC_018709	NC_018709.3	1201032	Campylobacter jejuni subsp. jejuni PT14, complete genome.	Campylobacter jejuni subsp. jejuni PT14	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	
NC_018750	NC_018750	NC_018750.1	953739	Streptomyces venezuelae ATCC 10712 complete genome.	Streptomyces venezuelae ATCC 10712	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces venezuelae	
NC_018866	NC_018866	NC_018866.1	1147129	Dehalobacter sp. DCA, complete genome.	Dehalobacter sp. DCA	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Dehalobacter	null	
NC_018867	NC_018867	NC_018867.1	1131462	Dehalobacter sp. CF, complete genome.	Dehalobacter sp. CF	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Dehalobacter	null	
NC_018876	NC_018876	NC_018876.1	1094980	Methanolobus psychrophilus R15, complete genome.	Methanolobus psychrophilus R15	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus psychrophilus	
NC_018877	NC_018877	NC_018877.1	527021	Bacillus thuringiensis Bt407, complete genome.	Bacillus thuringiensis Bt407	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	
NC_019382	NC_019382	NC_019382.1	568707	Bordetella bronchiseptica 253, complete genome.	Bordetella bronchiseptica 253	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	
NC_019567	NC_019567	NC_019567.1	1069642	Bdellovibrio bacteriovorus str. Tiberius, complete genome.	Bdellovibrio bacteriovorus str. Tiberius	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus	
NC_019670	NC_019670	NC_019670.1	1207075	Pseudomonas sp. UW4, complete genome.	Pseudomonas sp. UW4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	null	
NC_019673	NC_019673	NC_019673.1	1179773	Saccharothrix espanaensis DSM 44229 complete genome.	Saccharothrix espanaensis DSM 44229	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix espanaensis	
NC_019676	NC_019676	NC_019676.1	317936	Nostoc sp. PCC 7107, complete genome.	Nostoc sp. PCC 7107	Bacteria	Cyanobacteria	null	Nostocales	Nostocaceae	Nostoc	null	
NC_019678	NC_019678	NC_019678.1	373994	Rivularia sp. PCC 7116, complete genome.	Rivularia sp. PCC 7116	Bacteria	Cyanobacteria	null	Nostocales	Rivulariaceae	Rivularia	null	
NC_019680	NC_019680	NC_019680.1	195253	Synechococcus sp. PCC 6312, complete genome.	Synechococcus sp. PCC 6312	Bacteria	Cyanobacteria	null	Chroococcales	null	Synechococcus	null	
NC_019683	NC_019683	NC_019683.1	111781	Leptolyngbya sp. PCC 7376, complete genome.	Leptolyngbya sp. PCC 7376	Bacteria	Cyanobacteria	null	Oscillatoriales	null	Leptolyngbya	null	
NC_019689	NC_019689	NC_019689.1	118163	Pleurocapsa sp. PCC 7327, complete genome.	Pleurocapsa sp. PCC 7327	Bacteria	Cyanobacteria	null	Pleurocapsales	null	Pleurocapsa	Pleurocapsa minor	
NC_019693	NC_019693	NC_019693.1	56110	Oscillatoria acuminata PCC 6304, complete genome.	Oscillatoria acuminata PCC 6304	Bacteria	Cyanobacteria	null	Oscillatoriales	null	Oscillatoria	Oscillatoria acuminata	
NC_019695	NC_019695	NC_019695.1	251229	Chroococcidiopsis thermalis PCC 7203, complete genome.	Chroococcidiopsis thermalis PCC 7203	Bacteria	Cyanobacteria	null	Pleurocapsales	null	Chroococcidiopsis	Chroococcidiopsis thermalis	
NC_019701	NC_019701	NC_019701.1	82654	Pseudanabaena sp. PCC 7367, complete genome.	Pseudanabaena sp. PCC 7367	Bacteria	Cyanobacteria	null	Oscillatoriales	null	Pseudanabaena	null	
NC_019702	NC_019702	NC_019702.1	1173263	Synechococcus sp. PCC 7502, complete genome.	Synechococcus sp. PCC 7502	Bacteria	Cyanobacteria	null	Chroococcales	null	Synechococcus	null	
NC_019703	NC_019703	NC_019703.1	1173025	Geitlerinema sp. PCC 7407, complete genome.	Geitlerinema sp. PCC 7407	Bacteria	Cyanobacteria	null	Oscillatoriales	null	Geitlerinema	null	
NC_019729	NC_019729	NC_019729.1	179408	Oscillatoria nigro-viridis PCC 7112, complete genome.	Oscillatoria nigro-viridis PCC 7112	Bacteria	Cyanobacteria	null	Oscillatoriales	null	Oscillatoria	Oscillatoria nigro-viridis	
NC_019738	NC_019738	NC_019738.1	1173027	Microcoleus sp. PCC 7113, complete genome.	Microcoleus sp. PCC 7113	Bacteria	Cyanobacteria	null	Oscillatoriales	null	Microcoleus	null	
NC_019745	NC_019745	NC_019745.1	1173026	Gloeocapsa sp. PCC 7428, complete genome.	Gloeocapsa sp. PCC 7428	Bacteria	Cyanobacteria	null	Chroococcales	null	Gloeocapsa	null	
NC_019748	NC_019748	NC_019748.1	111780	Stanieria cyanosphaera PCC 7437, complete genome.	Stanieria cyanosphaera PCC 7437	Bacteria	Cyanobacteria	null	Pleurocapsales	null	Stanieria	Stanieria cyanosphaera	
NC_019757	NC_019757	NC_019757.1	56107	Cylindrospermum stagnale PCC 7417, complete genome.	Cylindrospermum stagnale PCC 7417	Bacteria	Cyanobacteria	null	Nostocales	Nostocaceae	Cylindrospermum	Cylindrospermum stagnale	
NC_019776	NC_019776	NC_019776.1	755178	Cyanobacterium aponinum PCC 10605, complete genome.	Cyanobacterium aponinum PCC 10605	Bacteria	Cyanobacteria	null	Chroococcales	null	Cyanobacterium	Cyanobacterium aponinum	
NC_019780	NC_019780	NC_019780.1	13035	Dactylococcopsis salina PCC 8305, complete genome.	Dactylococcopsis salina PCC 8305	Bacteria	Cyanobacteria	null	Chroococcales	null	Dactylococcopsis	Dactylococcopsis salina	
NC_019793	NC_019793	NC_019793.1	937777	Deinococcus peraridilitoris DSM 19664, complete genome.	Deinococcus peraridilitoris DSM 19664	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus peraridilitoris	
NC_019842	NC_019842	NC_019842.1	1225788	Bacillus amyloliquefaciens subsp. plantarum AS43.3, complete	Bacillus methylotrophicus AS43.3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methylotrophicus	
NC_019845	NC_019845	NC_019845.2	1235461	Sinorhizobium meliloti GR4, complete genome.	Sinorhizobium meliloti GR4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	
NC_019892	NC_019892	NC_019892.1	886293	Singulisphaera acidiphila DSM 18658, complete genome.	Singulisphaera acidiphila DSM 18658	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila	
NC_019897	NC_019897	NC_019897.1	717605	Thermobacillus composti KWC4, complete genome.	Thermobacillus composti KWC4	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	Thermobacillus composti	
NC_019903	NC_019903	NC_019903.1	871963	Desulfitobacterium dichloroeliminans LMG P-21439, complete genome.	Desulfitobacterium dichloroeliminans LM	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium dichloroeliminans	
NC_019936	NC_019936	NC_019936.1	644801	Pseudomonas stutzeri RCH2, complete genome.	Pseudomonas stutzeri RCH2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	
NC_019973	NC_019973	NC_019973.1	754035	Mesorhizobium australicum WSM2073, complete genome.	Mesorhizobium australicum WSM2073	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium australicum	
NC_020059	NC_020059	NC_020059.1	698761	Rhizobium tropici CIAT 899, complete genome.	Rhizobium tropici CIAT 899	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici	
NC_020089	NC_020089	NC_020089.1	1138877	Mycobacterium tuberculosis 7199-99 complete genome.	Mycobacterium tuberculosis 7199-99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	
NC_020126	NC_020126	NC_020126.1	1278073	Myxococcus stipitatus DSM 14675, complete genome.	Myxococcus stipitatus DSM 14675	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus stipitatus	
NC_020164	NC_020164	NC_020164.1	1194526	Staphylococcus warneri SG1, complete genome.	Staphylococcus warneri SG1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus warneri	
NC_020207	NC_020207	NC_020207.1	1104325	Enterococcus faecium NRRL B-2354, complete genome.	Enterococcus faecium NRRL B-2354	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	
NC_020209	NC_020209	NC_020209.1	1282356	Pseudomonas poae RE*1-1-14, complete genome.	Pseudomonas poae RE*1-1-14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas poae	
NC_020210	NC_020210	NC_020210.1	1233873	Geobacillus sp. GHH01, complete genome.	Geobacillus sp. GHH01	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	null	
NC_020211	NC_020211	NC_020211.1	435998	Serratia marcescens WW4, complete genome.	Serratia marcescens WW4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia marcescens	
NC_020238	NC_020238	NC_020238.1	1279365	Bacillus thuringiensis serovar kurstaki str. HD73, complete genome.	Bacillus thuringiensis serovar kurstaki str	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	
NC_020244	NC_020244	NC_020244.1	1233100	Bacillus subtilis XF-1, complete genome.	Bacillus subtilis XF-1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
NC_020272	NC_020272	NC_020272.1	1091041	Bacillus amyloliquefaciens IT-45, complete genome.	Bacillus amyloliquefaciens IT-45	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	
NC_020291	NC_020291	NC_020291.1	931276	Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.	Clostridium saccharoperbutylacetonicu	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saccharoperbutylacetonicum	
NC_020302	NC_020302	NC_020302.1	1121362	Corynebacterium halotolerans YIM 70093 = DSM 44683, complete	Corynebacterium halotolerans YIM 70093	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium halotolerans	
NC_020376	NC_020376	NC_020376.1	1286404	Bacillus thuringiensis serovar thuringiensis str. IS5056, complete	Bacillus thuringiensis serovar thuringiensi	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	
NC_020386	NC_020386	NC_020386.1	1193807	Dehalococcoides mccartyi DCMB5, complete genome.	Dehalococcoides mccartyi DCMB5	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	
NC_020387	NC_020387	NC_020387.1	1193806	Dehalococcoides mccartyi BTF08, complete genome.	Dehalococcoides mccartyi BTF08	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	
NC_020417	NC_020417	NC_020417.1	543913	Beta proteobacterium CB, complete genome.	beta proteobacterium CB	Bacteria	Proteobacteria	Betaproteobacteria	null	null	null	null	
NC_020418	NC_020418	NC_020418.1	1124991	Morganella morganii subsp. morganii KT, complete genome.	Morganella morganii subsp. morganii KT	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	Morganella morganii	
NC_020453	NC_020453	NC_020453.1	1245469	Bradyrhizobium oligotrophicum S58 DNA, complete genome.	Bradyrhizobium oligotrophicum S58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium oligotrophicum	
NC_020504	NC_020504	NC_020504.1	1214101	Streptomyces davawensis strain JCM 4913 complete genome.	Streptomyces davawensis JCM 4913	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces davawensis	
NC_020506	NC_020506	NC_020506.1	1121353	Corynebacterium callunae DSM 20147, complete genome.	Corynebacterium callunae DSM 20147	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium callunae	
NC_020507	NC_020507	NC_020507.1	1147161	Bacillus subtilis subsp. subtilis 6051-HGW, complete genome.	Bacillus subtilis subsp. subtilis 6051-HGW	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
NC_020516	NC_020516	NC_020516.1	748247	Azoarcus sp. KH32C DNA, complete genome.	Azoarcus sp. KH32C	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus	null	
NC_020519	NC_020519	NC_020519.1	1204414	Corynebacterium glutamicum K051 complete genome, strain ATCC 13032,	Corynebacterium glutamicum K051	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	
NC_020520	NC_020520	NC_020520.1	1313172	Ilumatobacter coccineus YM16-304 DNA, complete genome.	Ilumatobacter coccineus YM16-304	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	Ilumatobacter coccineus	
NC_020528	NC_020528	NC_020528.1	1286640	Sinorhizobium meliloti 2011, complete genome.	Sinorhizobium meliloti 2011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	
NC_020541	NC_020541	NC_020541.1	666685	Rhodanobacter denitrificans strain 2APBS1, complete genome.	Rhodanobacter denitrificans	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	null	
NC_020561	NC_020561	NC_020561.1	745310	Sphingomonas sp. MM-1, complete genome.	Sphingomonas sp. MM-1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	null	
NC_020799	NC_020799	NC_020799.1	1262456	Ralstonia solanacearum FQY_4, complete genome.	Ralstonia solanacearum FQY_4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	
NC_020812	NC_020812	NC_020812.1	349215	Micavibrio aeruginosavorus EPB, complete genome.	Micavibrio aeruginosavorus EPB	Bacteria	Proteobacteria	Alphaproteobacteria	null	null	Micavibrio	Micavibrio aeruginosavorus	
NC_020813	NC_020813	NC_020813.1	1184267	Bdellovibrio exovorus JSS, complete genome.	Bdellovibrio exovorus JSS	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio exovorus	
NC_020829	NC_020829	NC_020829.1	1294143	Pseudomonas denitrificans ATCC 13867, complete genome.	Pseudomonas denitrificans ATCC 13867	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas denitrificans	
NC_020832	NC_020832	NC_020832.1	1302650	Bacillus subtilis subsp. subtilis str. BAB-1, complete genome.	Bacillus subtilis subsp. subtilis str. BAB-1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
NC_020887	NC_020887	NC_020887.2	1121335	Clostridium stercorarium subsp. stercorarium DSM 8532, complete	[Clostridium] stercorarium subsp. stercorariu	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] stercorarium	
NC_020895	NC_020895	NC_020895.1	1203460	Streptomyces hygroscopicus subsp. jinggangensis TL01, complete	Streptomyces hygroscopicus subsp. jinggangensi	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces hygroscopicus	
NC_020912	NC_020912	NC_020912.1	1280938	Pseudomonas aeruginosa B136-33, complete genome.	Pseudomonas aeruginosa B136-33	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	
NC_020990	NC_020990	NC_020990.1	457425	Streptomyces albus J1074, complete genome.	Streptomyces albus J1074	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albus	
NC_021055	NC_021055	NC_021055.1	1265601	Streptomyces sp. PAMC26508, complete genome.	Streptomyces sp. PAMC26508	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	null	
NC_021058	NC_021058	NC_021058.1	1241935	Sulfolobus islandicus LAL14/1, complete genome.	Sulfolobus islandicus LAL14/1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	
NC_021066	NC_021066	NC_021066.1	1286170	Raoultella ornithinolytica B6, complete genome.	Raoultella ornithinolytica B6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica	
NC_021149	NC_021149	NC_021149.1	1283330	Azotobacter vinelandii CA, complete genome.	Azotobacter vinelandii CA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter vinelandii	
NC_021150	NC_021150	NC_021150.1	1283331	Azotobacter vinelandii CA6, complete genome.	Azotobacter vinelandii CA6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter vinelandii	
NC_021171	NC_021171	NC_021171.1	666686	Bacillus sp. 1NLA3E, complete genome.	Bacillus sp. 1NLA3E	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	null	
NC_021172	NC_021172	NC_021172.1	670307	Hyphomicrobium denitrificans 1NES1, complete genome.	Hyphomicrobium denitrificans 1NES1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium denitrificans	
NC_021173	NC_021173,NC_021174	NC_021173.1,NC_021174.1	1249661	Burkholderia thailandensis MSMB121 chromosome 1, complete sequence.	Burkholderia thailandensis MSMB121	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis	
NC_021176	NC_021176	NC_021176.1	527001	Salmonella enterica subsp. enterica serovar Typhi str. Ty21a,	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_021177	NC_021177	NC_021177.1	1303692	Streptomyces fulvissimus DSM 40593, complete genome.	Streptomyces fulvissimus DSM 40593	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fulvissimus	
NC_021182	NC_021182	NC_021182.1	86416	Clostridium pasteurianum BC1, complete genome.	Clostridium pasteurianum BC1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium pasteurianum	
NC_021184	NC_021184	NC_021184.1	767817	Desulfotomaculum gibsoniae DSM 7213, complete genome.	Desulfotomaculum gibsoniae DSM 7213	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum gibsoniae	
NC_021191	NC_021191	NC_021191.1	649831	Actinoplanes sp. N902-109, complete genome.	Actinoplanes sp. N902-109	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	null	
NC_021200	NC_021200	NC_021200.1	1199187	Mycobacterium avium subsp. paratuberculosis MAP4, complete genome.	Mycobacterium avium subsp. paratuberculosi	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	
NC_021237	NC_021237	NC_021237.1	1124983	Pseudomonas protegens CHA0, complete genome.	Pseudomonas protegens CHA0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	
NC_021362	NC_021362	NC_021362.1	766760	Bacillus licheniformis 9945A, complete genome.	Bacillus paralicheniformis ATCC 9945a	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis	
NC_021487	NC_021487	NC_021487.1	1303518	Chthonomonas calidirosea T49 complete genome.	Chthonomonas calidirosea T49	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Chthonomonas calidirosea	
NC_021491	NC_021491	NC_021491.1	1331671	Pseudomonas putida H8234, complete genome.	Pseudomonas putida H8234	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	
NC_021500	NC_021500	NC_021500.1	1166130	Enterobacter sp. R4-368, complete genome.	Enterobacter sp. R4-368	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	null	
NC_021577	NC_021577	NC_021577.1	1340851	Pseudomonas aeruginosa RP73, complete genome.	Pseudomonas aeruginosa RP73	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	
NC_021591	NC_021591	NC_021591.1	682634	Serratia plymuthica 4Rx13, complete genome.	Serratia plymuthica 4Rx13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia plymuthica	
NC_021592	NC_021592	NC_021592.1	333146	Ferroplasma acidarmanus fer1, complete genome.	Ferroplasma acidarmanus fer1	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus	
NC_021658	NC_021658	NC_021658.1	1254432	Sorangium cellulosum So0157-2, complete genome.	Sorangium cellulosum So0157-2	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	
NC_021659	NC_021659	NC_021659.1	1348660	Serratia plymuthica S13, complete genome.	Serratia plymuthica S13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia plymuthica	
NC_021663	NC_021663	NC_021663.1	1200352	Corynebacterium terpenotabidum Y-11, complete genome.	Corynebacterium terpenotabidum Y-11	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium terpenotabidum	
NC_021726	NC_021726	NC_021726.1	1096995	Acinetobacter baumannii BJAB07104, complete genome.	Acinetobacter baumannii BJAB07104	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	
NC_021729	NC_021729	NC_021729.1	1096997	Acinetobacter baumannii BJAB0868, complete genome.	Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	
NC_021733	NC_021733	NC_021733.1	1096996	Acinetobacter baumannii BJAB0715, complete genome.	Acinetobacter baumannii BJAB0715	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	
NC_021741	NC_021741	NC_021741.1	1346614	Serratia liquefaciens ATCC 27592, complete genome.	Serratia liquefaciens ATCC 27592	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia liquefaciens	
NC_021831	NC_021831	NC_021831.1	754503	Mycoplasma hyopneumoniae 7422, complete genome.	Mycoplasma hyopneumoniae 7422	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyopneumoniae	
NC_021902	NC_021902	NC_021902.1	877468	Salmonella enterica subsp. enterica serovar Newport str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_021905	NC_021905	NC_021905.1	1328306	Rhizobium etli bv. mimosae str. Mim1, complete genome.	Rhizobium etli bv. mimosae str. Mim1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium etli	
NC_021985	NC_021985	NC_021985.1	1214242	Streptomyces collinus Tu 365, complete genome.	Streptomyces collinus Tu 365	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces collinus	
NC_021991	NC_021991	NC_021991.1	1266844	Acetobacter pasteurianus 386B, complete genome.	Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	
NC_022000	NC_022000	NC_022000.1	1266738	Proteus mirabilis BB2000, complete genome.	Proteus mirabilis BB2000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus mirabilis	
NC_022041	NC_022041	NC_022041.1	1367847	Paracoccus aminophilus JCM 7686, complete genome.	Paracoccus aminophilus JCM 7686	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus	
NC_022080	NC_022080	NC_022080.4	1345697	Geobacillus sp. JF8, complete genome.	Geobacillus sp. JF8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	null	
NC_022081	NC_022081	NC_022081.1	1150476	Bacillus amyloliquefaciens subsp. plantarum UCMB5113, complete	Bacillus methylotrophicus UCMB5113	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methylotrophicus	
NC_022115	NC_022115	NC_022115.1	1136179	Rhodococcus erythropolis CCM2595, complete genome.	Rhodococcus erythropolis CCM2595	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	
