progress	50.2																																														
Notes	Final	Who	known habitat	Isolation_ecosystem_category	Isolation_ecosystem_type	Kingdom	Phyla-Order	GOLD Project ID	Project Name	Other Names	Legacy ER Project ID	Legacy GOLD ID	NCBI BioProject Name	NCBI BioProject ID	NCBI BioProject Accession	NCBI Locus Tag	NCBI Bio Project Description	Project Comments	Project Description	Sequencing Comments	Library Method	Number Of Reads	Sequencing Depth	Vector	GC Percent	Chromosome Count	Plasmid Count	Cultured	Organism Type	ITS Proposal ID	ITS SPID	GPTS Proposal ID	PMO Project ID	Last Modified Date	Add Date	Genetically modified										Keywords for soil	
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0009868	Helicobacter pylori F16		18563	Gc01857	Helicobacter pylori F16	50589	PRJDA50589	HPF16			Helicobacter pylori F16 genome sequencing project				10x		39	1	0	Yes	Natural					3/26/14	1/12/11												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0009867	Helicobacter pylori F30		18562	Gc01856	Helicobacter pylori F30	50591	PRJDA50591	HPF30			Helicobacter pylori F30 genome sequencing project.				11.5x		39	1	1	Yes	Natural					3/26/14	1/12/11												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0009866	Helicobacter pylori F32		18561	Gc01855	Helicobacter pylori F32	50593	PRJDA50593	HPF32			Helicobacter pylori F32 genome sequencing project.				12.7x		39	1	1	Yes	Natural					8/18/14	1/12/11												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0009865	Helicobacter pylori F57		18560	Gc01854	Helicobacter pylori F57	50595	PRJDA50595	HPF57			Helicobacter pylori F57 genome sequencing project.						39	1	0	Yes	Natural					3/26/14	1/12/11												
host-associated	0	Erick	Host-Human stomach	none	none	Bacteria	Proteobacteria	Gp0004025	Helicobacter pylori G27		13993	Gc00866	Helicobacter pylori G27	31341	PRJNA31341	HPG27			Strain used extensively in H. pylori research			"4609 (Sanger), 10752 (454)"	9.2x		39	1	1	Yes	Natural					3/26/14	10/5/08												
host-associated	0	Erick	Host-Human stomach	none	none	Bacteria	Proteobacteria	Gp0008565	Helicobacter pylori Gambia94/24		18118	Gc01582	Helicobacter pylori Gambia94/24	53317	PRJNA53317	HPGAM			Helicobacter pylori Gambia94/24 genome sequencing project						39	1	1	Yes	Natural					4/8/14	10/11/10												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0000341	Helicobacter pylori HPAG1		10296	Gc00390	Helicobacter pylori HPAG1	16183	PRJNA16183	HPAG1			Isolated from a Swedish patient with chronic atrophic gastritis		"4 kb, 40 kb"	30171	9.5x		39	1	1	Yes	Natural					3/26/14	11/27/07												
host-associated	0	Erick	Host-Human stomach	none	none	Bacteria	Proteobacteria	Gp0008796	Helicobacter pylori India7		18120	Gc01584	Helicobacter pylori India7	53321	PRJNA53321	HPIN			Helicobacter pylori Ind7 genome sequencing project						39	1		Yes	Natural					4/8/14	10/11/10												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0000769	Helicobacter pylori J99		10666	Gc00020	Helicobacter pylori J99	234	PRJNA234	jhp			Causes gastric inflammation and peptic ulcer disease		"2-2.5kb, 20 pMPX libraries,35-45kb cosmid libraries"			"pMPX, SuperCos1"	39	1	0	Yes	Natural					5/20/14	11/27/07												
host-associated	0	Erick	Host-Human stomach	none	none	Bacteria	Proteobacteria	Gp0008797	Helicobacter pylori Lithuania75		18121	Gc01585	Helicobacter pylori Lithuania75	53323	PRJNA53323	HPLT			Helicobacter pylori Lit75 genome sequencing project						39	1	1	Yes	Natural					4/8/14	10/11/10												
host-associated	0	Erick	Host-Human stomach	Human	Digestive system	Bacteria	Proteobacteria	Gp0004137	Helicobacter pylori P12		14075	Gc00879	Helicobacter pylori P12	32291	PRJNA32291	HPP12			Clinical isolate						39	1	1	Yes	Natural					3/26/14	10/31/08												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0008761	Helicobacter pylori PeCan4		18093	Gc01404	Helicobacter pylori PeCan4	49027	PRJNA49027	HPPC			Helicobacter pylori PeCan4 genome sequencing project						39	1	1	Yes	Natural					4/8/14	10/7/10												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0007237	Helicobacter pylori Sat464		17275	Gc01406	Helicobacter pylori Sat464	49453	PRJNA49453	HPSAT			Helicobacter pylori Sat464 genome sequencing project.						39	1	1	Yes	Natural					4/8/14	6/11/10												
host-associated	0	Erick	Host-Human stomach	Human	Digestive system	Bacteria	Proteobacteria	Gp0003764	Helicobacter pylori Shi470		13660	Gc00796	Helicobacter pylori Shi470	29045	PRJNA29045	HPSH			"ts genome sequence should be valuable for analyses of mechanisms of infection, virulence and genome evolution."						39	1	0	Yes	Natural					4/8/14	5/21/08												
host-associated	0	Erick	Host-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0008735	Helicobacter pylori SJM180		18092	Gc01403	Helicobacter pylori SJM180	49025	PRJNA49025	HPSJM			Helicobacter pylori SJM180 genome sequencing project						39	1	0	Yes	Natural					4/8/14	10/7/10												
host-associated	0	Erick	Host-Human stomach	none	none	Bacteria	Proteobacteria	Gp0008587	Helicobacter pylori SouthAfrica7		18119	Gc01583	Helicobacter pylori SouthAfrica7	53319	PRJNA53319	HPSA			Helicobacter pylori SouthAfrica7 genome sequencing project						38	1	1	Yes	Natural					4/8/14	10/11/10												
host-associated	0	Erick	Host-Human-Human stomach	Human	none	Bacteria	Proteobacteria	Gp0000786	Helicobacter pylori 26695		10679	Gc00007	Helicobacter pylori 26695	233	PRJNA233	HP			Causes gastric inflammation and peptic ulcer disease						39	1	0	Yes	Natural					8/18/14	11/27/07												
		Erick	Host-Human-Plant	none	none	Bacteria	Proteobacteria	Gp0100939	"Janthinobacterium agaricidamnosum NBRC 102515, DSM 9628"		76354	Gc0076354	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	252444	PRJEB4003	GJA			"Emerging resistances among human pathogens towards commonly used drugs, strong side effects of some medications and still incurable diseases demand the development of new drugs. Natural products still remain the leading source for new medications. However, traditional natural product research struggles with frequent rediscoveries of already known natural products and tedious workload. This downsides can be avoided by employing the genome mining approach. This method enables researchers to assess the natural biosynthetic potential of an organism by analysing the sequenced genome for conserved natural product biosynthesis gene cluster. Especially neglected bacteria that were overlooked as natural product producers in the past show promising biosynthesis potential. The soft rot mushroom pathogen Janthinobacterium agaricidamnosum represents such a neglected bacterium. And indeed, genome sequencing data revealed a remarkable biosynthetic potential for this microorganism."						61	1	0	Yes	Natural					8/1/14	7/25/14												
endosymbiont	0	Erick	Host-Insect endosymbiont	Insecta	none	Bacteria	Proteobacteria	Gp0023327	"Candidatus Carsonella ruddii HC, Thao2000"		27211	Gc02261	Candidatus Carsonella ruddii HC isolate Thao2000	165187	PRJNA165187	A353			Genome sequence of the endosymbiont Candidatus Carsonella ruddi from the psyllid Heteropsylla cubana.		Illumina Paired-end		590x		14	1	0	No	Natural					3/26/14	7/12/12												
endosymbiont	0	Erick	Host-Insect endosymbiont	Insecta	none	Bacteria	Proteobacteria	Gp0012246	secondary endosymbiont of Ctenarytaina eucalypti Thao2000		6040	Gc02262		165193	PRJNA165193	A359			Genome sequence of bacterial secondary symbiont from Ctenarytaina eucalypti		Illumina Paired-end		58x		43	1	0	No	Natural					4/8/14	11/4/11												
endosymbiont	0	Erick	Host-Insect endosymbiont	Insecta	none	Bacteria	Proteobacteria	Gp0003866	Wolbachia endosymbiont of Culex quinquefasciatus Pel		13761	Gc00820	Wolbachia endosymbiont of Culex quinquefasciatus Pel	30313	PRJNA30313	WPa			An endosymbiont of the mosquito Culex pipiens group.						34	1	0	Yes	Natural					3/26/14	6/18/08												
		Erick	Host-Intestinal tract	none	none	Bacteria	Proteobacteria	Gp0001042	Bdellovibrio bacteriovorus W		10924	Gc0010924	Bdellovibrio bacteriovorus W	49011	PRJNA49011	BDW									43	1	0	Yes	Natural					7/24/14	11/27/07												
		Erick	Host-Intestinal tract	Mammals	Excretory system	Bacteria	Proteobacteria	Gp0000637	"Helicobacter hepaticus 3B1, ATCC 51449"		10547	Gc00139	Helicobacter hepaticus ATCC 51449	185	PRJNA185	HH			"Causes hepatitis, typhlitis, hepatocellular tumors, and gastric bowel disease"		"libraries (insert sizes, 700?3,000 bp)"	22034	8.7x		36	1	0	Yes	Natural					3/26/14	11/27/07												
host associated	0	Erick	Host-Intestinal tract	Mammals	Digestive system	Bacteria	Proteobacteria	Gp0000349	Lawsonia intracellularis PHE/MN1-00		10304	Gc00382	Lawsonia intracellularis PHE/MN1-00	183	PRJNA183	LI			Causes proliferative enteropathy in animals						33	1	3	Yes	Natural					5/20/14	11/27/07												
		Erick	Host-Intestinal tract	Human	Excretory system	Bacteria	Proteobacteria	Gp0001792	Proteus mirabilis HI4320		11691	Gc00758	Proteus mirabilis HI4320	12624	PRJNA12624	PMI			An opportunistic pathogen in normal gut flora.		"2.6-3.0, 3.0- 3.3, 3.3-4.0, 2.0-4.0, 4.0- 5.0, 5.0- 6.0 and 25 -40 kb"		8x	"pUC19, pMAQ1b_SmaI, pBACehr"	39	1	1	Yes	Natural					3/26/14	11/27/07												
		Erick	Host-Lymph nodes	Human	none	Bacteria	Proteobacteria	Gp0000303	Granulibacter bethesdensis CGDNIH1		10263	Gc00423	Granulibacter bethesdensis CGDNIH1	17111	PRJNA17111	GbCGDNIH1			Isolated from a patient with chronic granulomatous disease		2-3 Kb		7x		59	1	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Host-Macrophage	Mammals	none	Bacteria	Proteobacteria	Gp0000138	Brucella ovis ATCC 25840		10115	Gc00570	Brucella ovis ATCC 25840	12514	PRJNA12514	BOV			Infects sheep and causes ovine brucellosis						57	2	0	Yes	Natural					3/26/14	11/27/07												
marine	0	Erick	Host-Marine	Aquatic	Marine	Bacteria	Proteobacteria	Gp0008241	alpha proteobacterium sp. HIMB5		17509	Gc0017509	alpha proteobacterium HIMB5	50099	PRJNA50099	HIMB5			alpha proteobacterium HIMB5 genome sequencing				130x		29	1	0	Yes	Natural					3/26/14	7/8/10												
marine	0	Erick	Host-Marine	Aquatic	Marine	Bacteria	Proteobacteria	Gp0006910	alpha proteobacterium sp. HIMB59		16881	Gc0016881	alpha proteobacterium HIMB114	46519	PRJNA46519	HIMB59			irst known cultured isolate from a clade of marine bacterioplankton which appears to share an ancient evolutionary history with the SAR11 clade of bacterioplankton.				165x		32	1	0	Yes	Natural					3/26/14	3/12/10												
		Erick	Host-Marine	Cnidaria	none	Bacteria	Proteobacteria	Gp0020586	Candidatus Endolissoclinum patella L2	Candidatus Endolissoclinum patella L2	40227	Gc02491	Candidatus Endolissoclinum patella L2	164601	PRJNA164601	A1OE			"Uncultivated symbiotic bacterium in the ascidian, Lissoclinum patella collected in Fiji at 3 m depth in a coral reef."						34	1	0	No	Natural					3/26/14	1/23/13												
		Erick	Host-Marine	Plants	none	Bacteria	Proteobacteria	Gp0000094	Marinomonas sp. MWYL1	Marinomonas sp. MWYL1	10073	Gc00612	Marinomonas sp. MWYL1	17445	PRJNA17445	Mmwyl1			This strain is being sequenced for comparative genome analysis						43	1	0	Yes	Natural			3515	16115	4/8/14	11/27/07												
	0	Erick	Host-Marine	Algae	none	Bacteria	Proteobacteria	Gp0001292	Phaeobacter gallaeciensis 2.10		11194	Gc02312	Phaeobacter gallaeciensis 2.10	19353	PRJNA19353	PGA2			"R. gallaeciensis represents a distinct member of the Rosebacter clade, as it does not contain bacteriochlorophyll a, has been isolated frequently from marine surfaces and possesses unique bio-inhibitory activities. R. gallaeciensis is a powerful competitor for Pseudoaltermonas tunicata in the formation of surface-associated biofilms and colonisation of marine algae."						60	1	3	Yes	Natural					3/26/14	11/27/07												
		Erick	Host-Marine	Animal	none	Bacteria	Proteobacteria	Gp0000345	Ruegeria sp. TM1040	Silicibacter sp. strain TM1040	10300	Gc00386	Ruegeria sp. TM1040	13040	PRJNA13040	TM1040			Dinoflagellate-associated bacterium		"38 kb, 9.5 kb, 3 kb"	59153	13x		60	1	2	Yes	Natural			300195	16878	4/8/14	11/27/07												
	1	Erick	Host-Marine-Permafrost sediment-Soil	Fish	Skin	Bacteria	Proteobacteria	Gp0000132	Psychrobacter sp. PRwf-1	Psychrobacter sp. PRwf-1	10109	Gc00576	Psychrobacter sp. PRwf-1	15759	PRJNA15759	PsycPRwf			Capable of growth at a range of low to mid-level temperatures				15x		45	1	2	Yes	Natural			3647	16302	4/8/14	11/27/07												
	1	Erick	Host-Marine-Rice roots-Soil	Human	Nervous system	Bacteria	Proteobacteria	Gp0011553	"Pseudomonas stutzeri Lautrop AB 201, ATCC 17588"		19689	Gc01869	Pseudomonas stutzeri ATCC 17588 = LMG 11199	68131	PRJNA68131	PSTAB			Pseudomonas stutzeri ATCC 17588 genome sequencing						64	1	0	Yes	Natural					4/8/14	7/1/11												
endosymbiont	?	Erick	Host-Mosquito	none	none	Bacteria	Proteobacteria	Gp0101123	Wolbachia endosymbiont wPip_Mol of Culex molestus		76538	Gc0076538	Wolbachia endosymbiont wPip_Mol of Culex molestus	252448	PRJEB4607	WPM			"Cytoplasmic incompatibility (CI) induced by the endosymbiont Wolbachia pipientis causes complex patterns of crossing sterility between populations of the Culex pipiens group of mosquitoes. The molecular basis of the phenotype is yet to be defined. In order to investigate what host changes may underlie CI at the molecular level, we examined the transcription of a homolog of the Drosophila melanogaster genegrauzone that encodes a zinc finger protein and acts as a regulator of female meiosis, in which mutations can cause sterility. Upregulation was observed in Wolbachia-infected C. pipiens group individuals relative to Wolbachia-cured lines and the level of upregulation differed between lines that were reproductively incompatible. Knockdown analysis of this gene using RNAi showed an effect on hatch rates in a Wolbachiainfected Culex molestus line. Furthermore, in later stages of development an effect on developmental progression in CI embryos occurs in bidirectionally incompatible crosses. The genome of a wPip Wolbachia strain variant from Culex molestus was sequenced and compared with the genome of a wPip variant with which it was incompatible. Five genes in three inserted or deleted regions were newly identified in the molestus wPip genome, one of which is a transcriptional regulator labelled wtrM. When this gene was transfected into adult Culex mosquitoes, upregulation of the grauzone homolog was observed. These data suggest that Wolbachia-mediated regulation of host gene expression is a component of the mechanism of cytoplasmic incompatibility"						34	1	0	Yes	Natural					8/1/14	7/25/14												
host	0	Erick	Host-Nasopharyngeal microflora	Human	none	Bacteria	Proteobacteria	Gp0000793	Haemophilus influenzae Rd (KW20)		10685	Gc00001	Haemophilus influenzae Rd KW20	219	PRJNA219	HI			Human-specific organism that causes a variety of diseases (avirulent strain)		2 kb and 15 to 20 kb	28643	6x	"_ GEM-12, _ DASH II"	38	1	0	Yes	Natural					8/18/14	11/27/07												
		Erick	Host-Nasopharyngeal microflora	Human	none	Bacteria	Proteobacteria	Gp0000763	Neisseria meningitidis MC58		10660	Gc00026	Neisseria meningitidis MC58	251	PRJNA251	NM			Causes meningitis and septicemia		"1.5 to 2.5 kb, 8 to 24 kb"	40020	3.2x	"pUC-derived vector, lambda -DASHII/Bam HI vector"	52	1	0	Yes	Natural					8/18/14	11/27/07												
		Erick	Host-Nasopharyngeal microflora	Animal	none	Bacteria	Proteobacteria	Gp0000759	Neisseria meningitidis Z2491		10656	Gc00030	Neisseria meningitidis Z2491	252	PRJNA252	NMA			Causes meningitis and septicemia		"0.5 to 1.5 kb, 20?22 kb, 9?13 kb"	58269	10x	"pUC18, lambdaFixII,"	52	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Host-Nematode gut-Nematode symbiont-Soil	Animal	none	Bacteria	Proteobacteria	Gp0002208	Xenorhabdus bovienii SS-2004		12107	Gc01219	Xenorhabdus bovienii SS-2004	13399	PRJNA13399	XBJ1			A nematode symbiont that is pathogenic to insect larvae						45	1	0	Yes	Natural					4/8/14	11/27/07												
	1	Erick	Host-Nematode gut-Nematode symbiont-Soil	Animal	Digestive system	Bacteria	Proteobacteria	Gp0002209	Xenorhabdus nematophila ATCC 19061		12108	Gc01638	Xenorhabdus nematophila ATCC 19061	13400	PRJNA13400	XNC1			A nematode symbiont that is pathogenic to insect larvae						44	1	1	Yes	Natural					4/8/14	11/27/07												
soil as in gold	1	Erick	Host-Obligate endophyte-Soil	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0000265	Azoarcus sp. BH72		10231	Gc00454	Azoarcus sp. BH72	13217	PRJNA13217	azo			Nitrogen-fixing obligate endophyte		"1, 2-3, 8 kb"	60715			68	1	0	Yes	Natural					3/26/14	11/27/07												
host associated	0	Erick	Host-Oral cavity	Animal	Digestive system	Bacteria	Proteobacteria	Gp0003673	Aggregatibacter actinomycetemcomitans ANH9381		16981	Gc02074	Aggregatibacter actinomycetemcomitans ANH9381	47337	PRJNA47337	ANH9381			Aggregatibacter actinomycetemcomitans ANH9381 Genome sequencing						44	1	0	Yes	Natural					4/8/14	4/14/10												
host associated	0	Erick	Host-Oral cavity	Animal	Digestive system	Bacteria	Proteobacteria	Gp0005276	Aggregatibacter actinomycetemcomitans D11S-1		15450	Gc01122	Aggregatibacter actinomycetemcomitans D11S-1	40107	PRJNA40107	D11S			Aggregatibacter actinomycetemcomitans D11S-1 Genome sequencing				25x		44	1	2	Yes	Natural					3/26/14	8/21/09												
host associated	0	Erick	Host-Oral cavity	Human	Digestive system	Bacteria	Proteobacteria	Gp0006666	Aggregatibacter actinomycetemcomitans D7S-1		16386	Gc0016386	Aggregatibacter actinomycetemcomitans D7S-1	41903	PRJNA41903	D7S			Aggregatibacter actinomycetemcomitans D7S-1 genome sequencing				30x		44	1	0	Yes	Natural					3/26/14	1/2/10												
host associated	0	Erick	Host-Oral cavity	Human	Digestive system	Bacteria	Proteobacteria	Gp0001493	Aggregatibacter aphrophilus NJ8700		11397	Gc01010	Aggregatibacter aphrophilus NJ8700	36579	PRJNA36579	NT05HA			This strain will be used for comparative genome analysis				25x		42	1	0	Yes	Natural					4/8/14	11/27/07												
	1	Erick	Host-Plant root	Plants	none	Bacteria	Proteobacteria	Gp0025853	Ensifer meliloti Rm41	Sinorhizobium meliloti Rm41	29182	Gc02445	Sinorhizobium meliloti Rm41	174855	PRJEB436	BN406			Sinorhizobium meliloti Rm41 genome sequencing				34x		62	1	3	Yes	Natural					3/26/14	9/12/12												
		Erick	Host-Plant root	Plants	none	Bacteria	Proteobacteria	Gp0011084	Enterobacter cloacae EcWSU1		19675	Gc02070	Enterobacter cloacae EcWSU1	67983	PRJNA67983	ECWSU1			EcWSU1 causes Enterobacter bulb decay in storage onions. Very little is known about the disease and the genome sequence will allow for further studies into the E. cloace-onion interaction. There are also very few E. cloacae genomes completed and this data will add another complete genome to the database.				20x		55	1	1	Yes	Natural					3/26/14	6/24/11												
soil as in gold	1	Erick	Host-Plant root	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0009015	Serratia plymuthica AS12	Serratia sp. AS12	18376	Gc01771	Serratia sp. AS12	60453	PRJNA60453	SerAS12			Serratia sp. AS12 genome sequencing project		"One 454 standard library, one paired end 454 library (12 kb insert size) and one Illumina library"		"59x Illumina, 8.8x pyrosequencing"		56	1	0	Yes	Natural	262		300588	403168	4/8/14	11/24/10												
soil as in gold	1	Erick	Host-Plant root-Rhizosphere-Root nodule	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0003957	Mesorhizobium australicum WSM2073	Mesorhizobium australicum WSM2073	13802	Gc02468	Mesorhizobium australicum WSM2073	47287	PRJNA47287	Mesau			Mesorhizobium australicum WSM2073 genome sequencing project		Titanium standard library and paired end 454 libraries		30x	454 standard and paired end (28x) and Illumina (2159x)	63	1	0	Yes	Natural			300131	400459	4/8/14	7/11/08												
soil as in gold	1	Erick	Host-Plant root-Rhizosphere-Root nodule	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0005894	Mesorhizobium huakuii 7653R		16116	Gc0016116	Mesorhizobium huakuii 7653R	48425	PRJNA48425	MCHK			Mesorhizobium huakuii 7653R Genome sequencing				30x		63	1	2	Yes	Natural					7/25/14	11/2/09												
	1	Erick	Host-Plant root-Rhizosphere-Root nodule-Soil	Plants	none	Bacteria	Proteobacteria	Gp0000117	Ensifer medicae WSM419	Sinorhizobium medicae WSM419	10095	Gc00590	Sinorhizobium medicae WSM419	16304	PRJNA16304	Smed			A soil bacterium capable of forming nitrogen-fixing nodules on Medicago spp.		"3Kb, 8Kb, 40Kb"	92741	12x	"pUC18c, pTH1522, pMCL200, pcc1Fos"	61	1	3	Yes	Natural			3720	16380	4/8/14	11/27/07												
soil as in gold	1	Erick	Host-Plant root-Rhizosphere-Root nodule-Soil	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0003892	Mesorhizobium ciceri bv biserrulae WSM1271	Mesorhizobium ciceri biovar biserrulae WSM1271	13801	Gc01578	Mesorhizobium ciceri biovar biserrulae WSM1271	48991	PRJNA48991	Mesci			Mesorhizobium ciceri biovar biserrulae WSM1271 genome sequencing				"26.8x 454, 124x Illumina"		63	1	1	Yes	Natural			300131	400458	5/4/14	7/11/08												
soil as in gold	1	Erick	Host-Plant root-Root nodule	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0001815	Ensifer fredii NGR234	Rhizobium sp. NGR234 (ANU265)	11715	Gc00990	Sinorhizobium fredii NGR234	21101	PRJNA21101	NGR			Symbiotic nitrogen-fixing bacterium with a broad host-range		2-4kb inserts	60597		"pTZ19R, pCR4.1-TOPO"	62	1	2	Yes	Natural					4/8/14	11/27/07												
soil as in gold	1	Erick	Host-Plant root-Root nodule	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0002260	Methylobacterium nodulans ORS 2060	Methylobacteria nodulans ORS2060	12159	Gc00935	Methylobacterium nodulans ORS 2060	20477	PRJNA20477	Mnod			"Nodulates Crotalaria sp., one of the largest legume genera in Africa. The discovery that a Methylobacterium sp. nodulates came as a major breakthrough in our understanding of ecologies within the genus. It is also notable for being non&endashpigmented (the rest have pink carotenoids), capable of growth on a wide variety of multi-endashcarbon compounds including some aromatics such as benzoate, and for carrying nod genes affiliated with those in Burkholderia tuberum and more distantly, Bradyrhizobium sp."						68	1	7	Yes	Natural			3539	16145	3/26/14	11/27/07												
	1	Erick	Host-Plant root-Root nodule	Plants	none	Bacteria	Proteobacteria	Gp0000395	"Rhizobium etli CFN 42, DSM 11541"		10344	Gc00342	Rhizobium etli CFN 42	13932	PRJNA13932	RHE			Nitrogen-fixing symbiotic bacteria			117596	9.1x		61	1	6	Yes	Natural					4/8/14	11/27/07												
	1	Erick	Host-Plant root-Root nodule	Plants	none	Bacteria	Proteobacteria	Gp0003237	Rhizobium etli CIAT 652		13551	Gc00823	Rhizobium etli CIAT 652	28021	PRJNA28021	RHECIAT			Study the evolutive mechanism involved in the origin of the genomic organization of Rhizobium. Both R. etli strains have great agronomical importance.						61	1	3	Yes	Natural					4/8/14	1/23/08												
	1	Erick	Host-Plant root-Root nodule	none	none	Bacteria	Proteobacteria	Gp0000346	Rhizobium leguminosarum bv. viciae 3841		10301	Gc00385	Rhizobium leguminosarum bv. viciae 3841	344	PRJNA344	RL			"Bacteria with large complex genomes are abundant and important in nature, and so this genome of Rlv3841 should serve as a further reference point for developing our understanding in many directions."				7.6x	"pUC18, pMAQ1b, m13MP18, pBACe3.6"	61	1	6	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Host-Plant root-Root nodule	Plants	none	Bacteria	Proteobacteria	Gp0006704	Rhizobium tropici CIAT899		558	Gc02473	Rhizobium tropici CIAT 899	42391	PRJNA42391	RTCIAT899			isolated from a common bean nodule but has a broad legume host range		Roche 454 GS-FLX shotgun and 3 kb-insert paired-end libraries				59	1	3	Yes	Natural					3/26/14	12/17/09												
soil as in gold	1	Erick	Host-Plant root-Root nodule-Soil	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0002243	Burkholderia phymatum STM815	Burkholderia phymatum STM815	12140	Gc00775	Burkholderia phymatum STM815	17409	PRJNA17409	Bphy			Nodulates the roots of tropical legumes				11x		62	2	2	Yes	Natural			3302	16619	4/8/14	11/27/07												
	1	Erick	Host-Plant root-Root nodule-Soil	Lab synthesis	none	Bacteria	Proteobacteria	Gp0000726	Ensifer meliloti 1021		10627	Gc00059	Sinorhizobium meliloti 1021	19	PRJNA19	SM			Nitrogen-fixing bacterium		"1-3kb insert libraries, BAC libraries"	5184	10x	"pBeloBAC11, pBACe3.6, pUC18"	62	1	2	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Host-Plant root-Root nodule-Soil	Terrestrial	Agricultural field	Bacteria	Proteobacteria	Gp0006560	Ensifer meliloti BL225C	Sinorhizobium meliloti BL225C	16336	Gc01811	Sinorhizobium meliloti BL225C	42477	PRJNA42477	SINMEB			Sinorhizobium meliloti BL225C genome sequencing project				41x		62	1	2	Yes	Natural			300163	400444	4/21/14	12/31/09												
	1	Erick	Host-Plant root-Root nodule-Soil	none	none	Bacteria	Proteobacteria	Gp0006018	Ensifer meliloti SM11		16215	Gc01686	Sinorhizobium meliloti SM11	41117	PRJNA41117	SM11			Sinorhizobium meliloti SM11 genome sequencing project						62	1	2	Yes	Natural					4/8/14	11/25/09												
	1	Erick	Host-Plant root-Root nodule-Soil	Plants	none	Bacteria	Proteobacteria	Gp0007583	Herbaspirillum seropedicae SmR1		17008	Gc01315	Herbaspirillum seropedicae SmR1	47945	PRJNA47945	HSERO			"an endophitic nitrogen-fixing beta-Proteobacteria found associated with important crops such as sugarcane, wheat, maize, rice and sorghum. It is non-phytopathogenic and produces interesting biotechnological products such as polybetaalkanoates and cyanophycin."						63	1	0	Yes	Natural					4/8/14	5/4/10												
soil as in gold	1	Erick	Host-Plant root-Root nodule-Soil	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0007438	Rhizobium leguminosarum bv trifolii WSM1689	Rhizobium leguminosarum bv trifolii WSM1689	16939	Gc0016939	Rhizobium leguminosarum bv. trifolii WSM1689	62289	PRJNA62289	Rleg3		very narrow host range for effective N2 fixation	Rhizobium leguminosarum bv. trifolii WSM1689 Genome sequencing project		Illumina GAii shotgun and paired end 454 libraries		"8.3x 454, 774.6x Illumina"		61	1	5	Yes	Natural	231		300536	403011	8/18/14	3/31/10												
	1	Erick	Host-Plant root-Root nodule-Soil	none	none	Bacteria	Proteobacteria	Gp0007437	Rhizobium leguminosarum bv. trifolii CB782	Rhizobium leguminosarum bv. trifolii CB782	16938	Gc0016938	Rhizobium leguminosarum bv. trifolii CB782	67103	PRJNA67103	Rleg12			Rhizobium leguminosarum bv. trifolii CB782 genome sequencing						61	1	3	Yes	Natural	231		300536	403027	8/18/14	3/31/10												
	1	Erick	Host-Plant root-Root nodule-Soil	Aquatic	Marine	Bacteria	Proteobacteria	Gp0001809	Rhizobium leguminosarum bv. trifolii WSM1325	Rhizobium leguminosarum bv. trifolii WSM1325	11710	Gc01039	Rhizobium leguminosarum bv. trifolii WSM1325	20097	PRJNA20097	Rleg			Symbiotic nitrogen-fixing bacteria of Mediterranean perennial clover plants		"2Kb, 8Kb, Fosmid, 454"		"16x Sanger, 20x 454"	"pTH1522, pMCL200, pcc1Fos"	61	1	5	Yes	Natural			51320	16321	3/26/14	11/27/07												
	1	Erick	Host-Plant root-Root nodule-Soil	Plants	none	Bacteria	Proteobacteria	Gp0001811	Rhizobium leguminosarum bv. trifolii WSM2304	Rhizobium leguminosarum by trifolii strain WSM2304	11711	Gc00870	Rhizobium leguminosarum bv. trifolii WSM2304	20179	PRJNA20179	Rleg			Symbiotic nitrogen-fixing bacteria of American and African perennial clover plants		"2Kb, 8Kb, Fosmid, 454"	"168,617 Sanger reads in addition to 5,663 454 pseudo reads"	"11.7x Sanger; 16x 454, 31.4x average"	"pTH1522, pMCL200, pcc1Fos"	61	1	4	Yes	Natural			51320	16322	3/26/14	11/27/07												
